GENE PRODUCT DB	GENE PRODUCT ID	GO TERM	GO NAME	GO ASPECT
UniProtKB	Q3E7K8	GO:0006511	ubiquitin-dependent protein catabolic process	P
UniProtKB	Q3E7T8	GO:0019941	modification-dependent protein catabolic process	P
UniProtKB	Q3E7T8	GO:0006511	ubiquitin-dependent protein catabolic process	P
UniProtKB	Q3E906	GO:0031145	anaphase-promoting complex-dependent catabolic process	P
UniProtKB	Q3E931	GO:0006511	ubiquitin-dependent protein catabolic process	P
UniProtKB	Q3E9A9	GO:0031146	SCF-dependent proteasomal ubiquitin-dependent protein catabolic process	P
UniProtKB	Q3EB08	GO:0031146	SCF-dependent proteasomal ubiquitin-dependent protein catabolic process	P
UniProtKB	Q3EBL9	GO:0043162	ubiquitin-dependent protein catabolic process via the multivesicular body sorting pathway	P
UniProtKB	Q3EC97	GO:0031146	SCF-dependent proteasomal ubiquitin-dependent protein catabolic process	P
UniProtKB	Q42134	GO:0010499	proteasomal ubiquitin-independent protein catabolic process	P
UniProtKB	Q42134	GO:0043161	proteasome-mediated ubiquitin-dependent protein catabolic process	P
UniProtKB	Q42202	GO:0019941	modification-dependent protein catabolic process	P
UniProtKB	Q42540	GO:0006511	ubiquitin-dependent protein catabolic process	P
UniProtKB	Q42541	GO:0006511	ubiquitin-dependent protein catabolic process	P
UniProtKB	Q42541	GO:0006511	ubiquitin-dependent protein catabolic process	P
UniProtKB	Q4PS42	GO:0006511	ubiquitin-dependent protein catabolic process	P
UniProtKB	Q4PSE4	GO:0031145	anaphase-promoting complex-dependent catabolic process	P
UniProtKB	Q4TU14	GO:0010498	proteasomal protein catabolic process	P
UniProtKB	Q501F5	GO:0031146	SCF-dependent proteasomal ubiquitin-dependent protein catabolic process	P
UniProtKB	Q56ZQ3	GO:0006511	ubiquitin-dependent protein catabolic process	P
UniProtKB	Q570C0	GO:0031146	SCF-dependent proteasomal ubiquitin-dependent protein catabolic process	P
UniProtKB	Q570X5	GO:0006511	ubiquitin-dependent protein catabolic process	P
UniProtKB	Q5EAF6	GO:0031146	SCF-dependent proteasomal ubiquitin-dependent protein catabolic process	P
UniProtKB	Q5M759	GO:0043328	protein transport to vacuole involved in ubiquitin-dependent protein catabolic process via the multivesicular body sorting pathway	P
UniProtKB	Q5PNU3	GO:0019941	modification-dependent protein catabolic process	P
UniProtKB	Q5XVJ3	GO:0006511	ubiquitin-dependent protein catabolic process	P
UniProtKB	Q6DBN1	GO:0043161	proteasome-mediated ubiquitin-dependent protein catabolic process	P
UniProtKB	Q6E260	GO:0030433	ubiquitin-dependent ERAD pathway	P
UniProtKB	Q6NL06	GO:0006511	ubiquitin-dependent protein catabolic process	P
UniProtKB	Q6NLQ8	GO:0006511	ubiquitin-dependent protein catabolic process	P
UniProtKB	Q6NLR3	GO:0006511	ubiquitin-dependent protein catabolic process	P
UniProtKB	Q6NLR3	GO:0071712	ER-associated misfolded protein catabolic process	P
UniProtKB	Q6NLS0	GO:0071712	ER-associated misfolded protein catabolic process	P
UniProtKB	Q6NLS0	GO:0030433	ubiquitin-dependent ERAD pathway	P
UniProtKB	Q6NNI8	GO:0043161	proteasome-mediated ubiquitin-dependent protein catabolic process	P
UniProtKB	Q6NPT7	GO:0006511	ubiquitin-dependent protein catabolic process	P
UniProtKB	Q6NPT7	GO:0030433	ubiquitin-dependent ERAD pathway	P
UniProtKB	Q6XJG8	GO:0043161	proteasome-mediated ubiquitin-dependent protein catabolic process	P
UniProtKB	Q708Y0	GO:0031146	SCF-dependent proteasomal ubiquitin-dependent protein catabolic process	P
UniProtKB	Q708Y0	GO:0006511	ubiquitin-dependent protein catabolic process	P
UniProtKB	Q7DLR9	GO:0010499	proteasomal ubiquitin-independent protein catabolic process	P
UniProtKB	Q7DLR9	GO:0043161	proteasome-mediated ubiquitin-dependent protein catabolic process	P
UniProtKB	Q7DLS1	GO:0043161	proteasome-mediated ubiquitin-dependent protein catabolic process	P
UniProtKB	Q7DLS1	GO:0010499	proteasomal ubiquitin-independent protein catabolic process	P
UniProtKB	Q7Y175	GO:0043161	proteasome-mediated ubiquitin-dependent protein catabolic process	P
UniProtKB	Q84L30	GO:0043161	proteasome-mediated ubiquitin-dependent protein catabolic process	P
UniProtKB	Q84L31	GO:0043161	proteasome-mediated ubiquitin-dependent protein catabolic process	P
UniProtKB	Q84L32	GO:0043161	proteasome-mediated ubiquitin-dependent protein catabolic process	P
UniProtKB	Q84L33	GO:0043161	proteasome-mediated ubiquitin-dependent protein catabolic process	P
UniProtKB	Q84RJ8	GO:0006511	ubiquitin-dependent protein catabolic process	P
UniProtKB	Q84RQ8	GO:0006511	ubiquitin-dependent protein catabolic process	P
UniProtKB	Q84RQ9	GO:0006511	ubiquitin-dependent protein catabolic process	P
UniProtKB	Q84RR0	GO:0006511	ubiquitin-dependent protein catabolic process	P
UniProtKB	Q84RR2	GO:0006511	ubiquitin-dependent protein catabolic process	P
UniProtKB	Q84TF5	GO:0006511	ubiquitin-dependent protein catabolic process	P
UniProtKB	Q84W75	GO:0051603	proteolysis involved in cellular protein catabolic process	P
UniProtKB	Q84WK5	GO:0043161	proteasome-mediated ubiquitin-dependent protein catabolic process	P
UniProtKB	Q8GUK7	GO:0006511	ubiquitin-dependent protein catabolic process	P
UniProtKB	Q8GUK7	GO:0071712	ER-associated misfolded protein catabolic process	P
UniProtKB	Q8GWH3	GO:0030970	retrograde protein transport, ER to cytosol	P
UniProtKB	Q8GWH3	GO:0030433	ubiquitin-dependent ERAD pathway	P
UniProtKB	Q8GWH3	GO:0030433	ubiquitin-dependent ERAD pathway	P
UniProtKB	Q8GWH3	GO:0030433	ubiquitin-dependent ERAD pathway	P
UniProtKB	Q8GWH3	GO:0036503	ERAD pathway	P
UniProtKB	Q8GY23	GO:0043161	proteasome-mediated ubiquitin-dependent protein catabolic process	P
UniProtKB	Q8GYA6	GO:0006511	ubiquitin-dependent protein catabolic process	P
UniProtKB	Q8GYG0	GO:0006511	ubiquitin-dependent protein catabolic process	P
UniProtKB	Q8GYW0	GO:0030433	ubiquitin-dependent ERAD pathway	P
UniProtKB	Q8GZ31	GO:0031146	SCF-dependent proteasomal ubiquitin-dependent protein catabolic process	P
UniProtKB	Q8H0T4	GO:0043161	proteasome-mediated ubiquitin-dependent protein catabolic process	P
UniProtKB	Q8H159	GO:0019941	modification-dependent protein catabolic process	P
UniProtKB	Q8H166	GO:0051603	proteolysis involved in cellular protein catabolic process	P
UniProtKB	Q8H1B3	GO:0030433	ubiquitin-dependent ERAD pathway	P
UniProtKB	Q8H1Q4	GO:0031146	SCF-dependent proteasomal ubiquitin-dependent protein catabolic process	P
UniProtKB	Q8H1U4	GO:0031145	anaphase-promoting complex-dependent catabolic process	P
UniProtKB	Q8L3Z8	GO:0031145	anaphase-promoting complex-dependent catabolic process	P
UniProtKB	Q8L4A7	GO:0043161	proteasome-mediated ubiquitin-dependent protein catabolic process	P
UniProtKB	Q8L4A7	GO:0010499	proteasomal ubiquitin-independent protein catabolic process	P
UniProtKB	Q8L745	GO:0030433	ubiquitin-dependent ERAD pathway	P
UniProtKB	Q8L770	GO:0006515	protein quality control for misfolded or incompletely synthesized proteins	P
UniProtKB	Q8L7E3	GO:0006511	ubiquitin-dependent protein catabolic process	P
UniProtKB	Q8L7T3	GO:0031145	anaphase-promoting complex-dependent catabolic process	P
UniProtKB	Q8L829	GO:0006511	ubiquitin-dependent protein catabolic process	P
UniProtKB	Q8LB10	GO:0006515	protein quality control for misfolded or incompletely synthesized proteins	P
UniProtKB	Q8LB17	GO:0030433	ubiquitin-dependent ERAD pathway	P
UniProtKB	Q8LB33	GO:0031146	SCF-dependent proteasomal ubiquitin-dependent protein catabolic process	P
